annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2023;Septembre;2023-09-22;Vendredi;39;91;91;Intercommunale;Régulières Métropolitaines;729.41176
2023;Septembre;2023-09-28;Jeudi;40;75;75;Métropolitaine;Régulières Métropolitaines;1055.29412
2023;Décembre;2023-12-13;Mercredi;51;37;37;Inter-quartiers;Régulières Urbaines;214.11765
2023;Septembre;2023-09-11;Lundi;38;72;72;Métropolitaine;Régulières Métropolitaines;2461.17647
2024;Janvier;2024-01-09;Mardi;2;74;74;Métropolitaine;Régulières Métropolitaines;1372.94118
2023;Septembre;2023-09-22;Vendredi;39;156;156ex;Express;Régulières Métropolitaines;137.64706
2023;Septembre;2023-09-28;Jeudi;40;83;83;Métropolitaine;Régulières Métropolitaines;1338.82353
2023;Décembre;2023-12-13;Mercredi;51;39;39;Inter-quartiers;Régulières Urbaines;16.47059
2023;Septembre;2023-09-11;Lundi;38;75;75;Métropolitaine;Régulières Métropolitaines;909.41176
2024;Janvier;2024-01-09;Mardi;2;76;76;Métropolitaine;Régulières Métropolitaines;945.88235
2023;Septembre;2023-09-22;Vendredi;39;164;164ex;Express;Régulières Métropolitaines;211.76471
2023;Septembre;2023-09-28;Jeudi;40;90;90;Intercommunale;Régulières Métropolitaines;50.58824
2023;Décembre;2023-12-13;Mercredi;51;51;51;Métropolitaine;Régulières Métropolitaines;1138.82353
2023;Septembre;2023-09-11;Lundi;38;78;78;Métropolitaine;Régulières Métropolitaines;1362.35294
2024;Janvier;2024-01-09;Mardi;2;81;81;Métropolitaine;Régulières Métropolitaines;628.23529
2023;Septembre;2023-09-22;Vendredi;39;165;165ex;Express;Régulières Métropolitaines;23.52941
2023;Septembre;2023-09-28;Jeudi;40;167;167ex;Express;Régulières Métropolitaines;110.58824
2023;Décembre;2023-12-13;Mercredi;51;59;59;Métropolitaine;Régulières Métropolitaines;2282.35294
2023;Septembre;2023-09-11;Lundi;38;152;152ex;Express;Régulières Métropolitaines;161.17647
2024;Janvier;2024-01-09;Mardi;2;82;82;Métropolitaine;Régulières Métropolitaines;471.76471
2023;Septembre;2023-09-23;Samedi;39;4;C4;CHRONOSTAR;CHRONOSTAR;9861.17647
2023;Septembre;2023-09-28;Jeudi;40;1001;a;Métro;METRO;158399.50577
